Latitude,Longitude,id,Name,Healthlink,Address,Phone,Fax,Email,Date Of La,COUNTY_ENG,SUPPLY,xcoord,ycoord
53.284849000000001,-6.379624,1560,Tallaght Medical Practice,1560,"1 Alderwood Park, Dublin 24, D24 XR58",01 4590962 403113,01 4524935,tallaghtmedicalpractice1@eircom.net & tallaghtmedicalpractice.gp@healthmail.ie,15-Apr-22,SOUTH DUBLIN,2.264,-6.379473087,53.28469551
53.290390000000002,-6.282249,1590,Aranleigh Health Centre,1590,"1 Aranleigh Mount, Dublin 14, D14 K822",01 4944279 616568 087 2645101,01 4753192,drtof@hotmail.com,15-Apr-22,SOUTH DUBLIN,2.264,-6.282351431,53.29023777
53.234723000000002,-6.120944,2597,Shankill Family Practice,2597,"1 Athgoe Drive, Dublin 18, D18 C596",01 272 0475 990644,01 272 2670,,11-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.120954818,53.23457066
53.344700000000003,-6.397102,1976,Wheatfield Surgery,1976,"1 Chaplain's Place, Rowlagh, Dublin 22, D22 A4P2",01 6263497 392462,01 6238388,,26-Apr-22,SOUTH DUBLIN,2.264,-6.397076473,53.34486626
53.325288000000000,-6.321634,2098,Crumlin Medical Practice,2098,"1 Errigal Road, Dublin 12, D12 NV0A",01 4557260 951140 087 2500547,01 4557245,,27-Apr-22,DUBLIN CITY,1.09,-6.321601606,53.32521211
53.289278000000003,-6.129979,1354,Dun Laoghaire Surgery,1354,"1 Glenageary Road Lower, Glenageary, Co. Dublin, A96 V078",01 2807469 870748 086 6042320,01 2302054,DunLaoghaireSurgery@healthmail.ie,11-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.129766471,53.28922326
53.285502999999999,-6.272677,2594,Dr B Ashcroft,2594,"1 Grange Manor Drive, Dublin 16, D16 X254",01 4935881 232829 0872403256,01 4935881,,21-Apr-22,SOUTH DUBLIN,2.264,-6.272406066,53.28549198
53.286304999999999,-6.119502,1879,Sandycove Surgery,1879,"1 Mount Pleasant, Sandycove Road, Sandycove, Co. Dublin, A96 P596",01 2807639 66516 087 9172926,01 2845856,,22-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.119153158,53.28626162
53.279944999999998,-6.359814,1350,The Coady Surgery,1350,"1 Old Bawn Way, Dublin 24, D24 XF7A",01 4511886 113609 087 2050379,01 4523705,,11-Apr-22,SOUTH DUBLIN,2.264,-6.359543554,53.27997754
53.451138000000000,-6.155717,1288,Railway Avenue Medical Practice,1288,"1 Railway Avenue, Malahide, Co. Dublin, K36 F899",01 8450416 149059 087 2243503,01 8457681,reception@docmooney.com & railwayavemedical@healthmail.ie,08-Apr-22,FINGAL,2.212,-6.155745073,53.45121535
53.455356999999999,-6.179349,1328,Seabury Medical Centre,1328,"1 Seabury Parade, Malahide, Co. Dublin, K36 FK13",01 8454847 517711,01 8453511,drball@eircom.net / seamed@iol.ie,08-Apr-22,FINGAL,2.212,-6.179290491,53.45543937
53.395735999999999,-6.438863,1670,Meridian Clinic - Ongar,1670,"1 The Avenue, Ongar Village, Dublin 15, D15 V326",01 8614040 693118 086 3874945,01 8614674,,15-Apr-22,FINGAL,2.212,-6.438637594,53.39570789
53.423752999999998,-6.133146,1283,Portmarnock GP Clinic,1283,"1 The Dunes, Portmarnock, Co. Dublin, D13 T2T6",01 8461335 36489 086 2631893,01 8461805,,08-Apr-22,FINGAL,2.212,-6.133296967,53.42362248
53.339362000000001,-6.320771,3291,Dr Michael O'Malley,0,"1 Tyrconnell Road, Dublin 8, D08 AE98",01 4531943 436876,01 4531943,,26-Apr-22,DUBLIN CITY,1.09,-6.320720861,53.33947868
53.382783000000003,-6.408697,5441,Clonsilla Family Practice,5441,"1 Weaver's Row, Clonsilla Road, Clonsilla, Dublin 15, D15 WP93",01 8262884 453989,,,28-Apr-22,FINGAL,2.212,-6.408677519,53.38292047
53.282178000000002,-6.340133,1830,Dr Sean McCarthy,1830,"1 Woodlawn Park Avenue, Dublin 24, D24 ED23",01 4521509 905495,01 4521509,,22-Apr-22,SOUTH DUBLIN,2.264,-6.339902898,53.2820863
53.294604999999997,-6.251436,1334,Woodlawn Medical Centre,1334,"1 Woodlawn Terrace, Churchtown Road Upper, Dublin 14, D14 W3V5",01 2983950 711829,01 2962982,mcgoldrick@indigo.ie,08-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.251526859,53.29444377
53.333925000000001,-6.244438,2425,Baggot Street Medical,2425,"10 Baggot Street Upper, Dublin 4, D04 KT35",01 9060458 665566,01 6632865,med_secretary10@outlook.com,11-Apr-22,DUBLIN CITY,1.09,-6.244694711,53.3337589
53.369090999999997,-6.25441,2014,Drumcondra Village Medical Centre,2014,"10 Drumcondra Road Upper, Dublin 9, D09 H3C5",01 7979080 550152 087 6239475,01 8572599,,27-Apr-22,DUBLIN CITY,1.09,-6.2541568,53.3690375
53.327286000000001,-6.251806,2325,Nursing Home - Leeson Park House,2325,"10 Leeson Park, Dublin 6, D06 TC65",01 4976500 202891,,,27-Apr-22,DUBLIN CITY,1.09,-6.251570729,53.32733401
53.290886000000000,-6.154165,2590,Dr. Roger H Feely,0,"10 Richmond Avenue, Monkstown, Blackrock, Co. Dublin, A94 XE04",01 2803619 156675,,,11-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.154471619,53.29091038
53.357511000000002,-6.268322,3979,Other - Reproductive Choice Limited,0,"10/11 Berkeley Street, Dublin 7, D07 Y032",01 8300630 821382,,,06-Apr-22,DUBLIN CITY,1.09,-6.268458146,53.35746778
53.348514000000002,-6.247149,3352,Occupation Health Dept - Corporate Health Ireland,0,"10/11 Exchange Place, IFSC., Dublin 1, D01 N4X6",01 6701820 072951,,,26-Apr-22,DUBLIN CITY,1.09,-6.2473347,53.3485414
53.353541000000000,-6.258737,1737,Influmed Medical Care Ltd - Dublin 1,1737,"102 Parnell Street, Dublin 1, D01 V0F1",01 8749519 966311,01 8749519,,15-Apr-22,DUBLIN CITY,1.09,-6.258864743,53.35367985
53.374060999999998,-6.290021,4198,Dr Ronan O'Ferrall,0,"102 Slaney Road, Dublin Industrial Estate, Dublin 11, D11 A268",01 2353317 084978,01 2851076,,27-Apr-22,DUBLIN CITY,1.09,-6.290229305,53.37414756
53.326290000000000,-6.264785,2138,The Doctors Clinic,2138,"104 Rathmines Road Lower, Dublin 6, D06 F9P0",01 4979938  411361 086 4081615,,,27-Apr-22,DUBLIN CITY,1.09,-6.2649402,53.3263002
53.279774000000003,-6.259456,3483,Dr Peter Wai Yin Hooi,0,"105 Broadford Hill, Dublin 16, D16 YD29",01 4934337 963310,,,26-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.259319141,53.27977444
53.332324999999997,-6.274766,2286,South Circular Road Surgery,2286,"106a South Circular Road, Dublin 8, D08 K2V6",01 4548026 35918,,,27-Apr-22,DUBLIN CITY,1.09,-6.274770593,53.33222203
53.343387000000000,-6.259536,1204,Suffolk Street Surgery,1204,"107 Grafton Street, Dublin 2, D02 E425",01 6798181 352695 086 2773688,01 6798181,,08-Apr-22,DUBLIN CITY,1.09,-6.259605885,53.3433203
53.269043000000003,-6.14523,1445,Johnstown Medical Centre,1445,"107a Johnstown Road, Cabinteely, Glenageary, Co. Dublin, A96 W248",01 2855800 469195 087 1375483,01 2849257,info@johnstownmed.ie & JohnstownMedicalCentre@healthmail.ie,15-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.14545314,53.26916482
53.452567000000002,-6.237026,2694,Forest Medical Practice,2694,"108 Forrest Fields Road, Swords, Co. Dublin, K67 D802",01 8403215 747583,01 8403392,,12-Apr-22,FINGAL,2.212,-6.236897808,53.45274448
53.352938000000002,-6.248275,4174,City Clinic,4174,"108/109 Amiens Street, Dublin 1, D01 A336",01 8555310 333656 085 1670142,01 8555314,,27-Apr-22,DUBLIN CITY,1.09,-6.248511322,53.35304528
53.287117000000002,-6.382915,1558,Springfield Medical Centre,1558,"109 Alderwood Avenue, Dublin 24, D24 R159",01 4514077 530963 086 8394052,01 4520799,,15-Apr-22,SOUTH DUBLIN,2.264,-6.382636966,53.28727998
53.361324000000003,-6.285119,2695,Cabra Medical Centre,2695,"109 Cabra Road, Dublin 7, D07 XH5V",01 8300116 040592,01 8300116,,12-Apr-22,DUBLIN CITY,1.09,-6.285128038,53.36123491
53.357942000000001,-6.263634,1177,Dr Donaghy,0,"109 Dorset Street Lower, Dublin 1, D01 X953",01 8303488 878492,01 8828586,,28-Apr-22,DUBLIN CITY,1.09,-6.263734,53.357971
53.279702999999998,-6.307511,1243,Scholarstown Family Practice,1243,"10a Templeroan Lodge, Scholarstown Road, Dublin 16, D16 E2Y5",01 4936711 817255 086 161 1529,01 4943265,scholfp@eircom.net,08-Apr-22,SOUTH DUBLIN,2.264,-6.3077116,53.2797724
53.367033999999997,-6.272827,1399,Glasnevin Family Practice,1399,"11 Finglas Road, Dublin 11, D11 PA00",01 8600275 364636,01 8600275,,12-Apr-22,DUBLIN CITY,1.09,-6.272512701,53.36711014
53.344692000000002,-6.267272,2239,Parliament Street Medical Practice,2239,"11 Parliament Street, Dublin 2, D02 V277",01 6779112 117591,,,27-Apr-22,DUBLIN CITY,1.09,-6.267418655,53.34467495
53.292634999999997,-6.17965,1685,Carysfort Clinic,1685,"11 Proby Square, Blackrock, Co. Dublin, A94 AD91",01 2887328 927718 087 7827331,01 2781292,carysfortclinic@eircom.net,31-Mar-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.179642773,53.29283153
53.401881000000003,-6.396423,5455,Alfa Medics,5455,"110 Main Street, Mulhuddart, Dublin 15, D15 YH32",01 6583030 305615 086 4072838,,,20-Apr-22,FINGAL,2.212,-6.396571467,53.40176943
53.359316000000000,-6.240134,1045,North Strand Surgery,1045,"110 North Strand Road, Dublin 3, D03 KW81",01 8743019 959726,01 8560716,,07-Apr-22,DUBLIN CITY,1.09,-6.240328282,53.35938714
53.336320000000001,-6.248681,3835,Doctors Walk-In Clinic Baggot Street,0,"111 Baggot Street Lower, Dublin 2, D02 DA33",01 6762175 417714 086 4081615,,,27-Apr-22,DUBLIN CITY,1.09,-6.248520486,53.33640098
53.291893000000002,-6.216009,2573,Dr. Arthur Searson,0,"111 Trees Road Upper, Mount Merrion, Blackrock, Co. Dublin, A94 K8P6",01 2885123 347646,01 2885123,,11-Apr-22,DUN LAOGHAIRE/RATHDOWN,2.393,-6.215955251,53.29170978
