id,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,PRIMARYIND,Park_ID,Class,Typology,Location,Astro_Pitc,All_Weathe,MUGA,Football_5,Table_Tenn,Athletics,Basketball,Basketba_1,Skateboard,Croquet_La,Bowling_Gr,Outdoor_Bo,Golf_Pitch,Tennis,Model_Car_,Leisure_Wa,Pavillion,Showers,Changing_R,Toilets,Management,Depot_Buil,Housing_in,Shelter,Playground,Num_of_Pit,GAA,Soccer_Foo,Seven_a_Si,Rugby,Hard_Lands,Committee_,Area_mSq,Area_Acre,Multipolyg,distance,angle,xcoord,ycoord
1,Openspace at Clonshaugh Close,,,,,,-1,0,-1,,,1223,484,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874.958000000000084,0.463,,0,59.671291628433131,-6.209672087,53.40415277
2,Openspace at Clonshaugh Close,,,,,,-1,0,-1,,,1223,484,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874.958000000000084,0.463,,100.000000000000000,177.276936932246144,-6.20910998,53.40401301
3,Georges Dock,,,,,,-1,0,-1,,,188,981,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1992.118999999999915,0.492,,0,12.660284540604710,-6.248403191,53.3495023
4,Georges Dock,,,,,,-1,0,-1,,,188,981,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1992.118999999999915,0.492,,100.000000000000000,184.852190365402890,-6.248382218,53.34860537
5,Georges Dock,,,,,,-1,0,-1,,,188,981,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1992.118999999999915,0.492,,200.000000000000000,350.218843579442307,-6.248946021,53.34849545
6,Georges Dock,,,,,,-1,0,-1,,,188,981,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1992.118999999999915,0.492,,300.000000000000000,4.851696204915968,-6.248282011,53.3491216
7,Georges Dock 2,,,,,,-1,0,-1,,,187,980,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1145.548000000000002,0.283,,0,180.400744614200192,-6.249654009,53.34949037
8,Georges Dock 2,,,,,,-1,0,-1,,,187,980,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1145.548000000000002,0.283,,100.000000000000000,101.176835334528491,-6.249742605,53.34857544
9,Georges Dock 2,,,,,,-1,0,-1,,,187,980,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1145.548000000000002,0.283,,200.000000000000000,5.211061409299530,-6.249836184,53.34858631
10,Georges Dock 2,,,,,,-1,0,-1,,,187,980,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1145.548000000000002,0.283,,300.000000000000000,5.212142181705666,-6.249655837,53.34947931
11,Georges Dock 1,,,,,,-1,0,-1,,,186,979,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,193.888000000000005,0.048,,0,319.381308260336425,-6.249178785,53.34958376
12,Harbour Master Place 1,,,,,,-1,0,-1,,,185,978,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,593.370000000000005,0.147,,0,50.097702073408151,-6.249004318,53.35107918
13,Harbour Master Place 1,,,,,,-1,0,-1,,,185,978,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,593.370000000000005,0.147,,100.000000000000000,144.997912689272397,-6.249121538,53.35024883
14,Harbour Master Place 1,,,,,,-1,0,-1,,,185,978,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,593.370000000000005,0.147,,200.000000000000000,4.951884845612958,-6.248997678,53.35085766
15,Cappagh Avenue Green,,,,,,-1,0,-1,,,1216,186,4,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.207000000000107,0.394,,0,71.082277663729940,-6.317049601,53.39470725
16,Cappagh Avenue Green,,,,,,-1,0,-1,,,1216,186,4,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.207000000000107,0.394,,100.000000000000000,296.533397000242815,-6.317250771,53.3942284
17,Harbour Master Place 2,,,,,,-1,0,-1,,,184,977,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1921.912000000000035,0.475,,0,229.796054905313980,-6.245842331,53.34995386
18,Harbour Master Place 2,,,,,,-1,0,-1,,,184,977,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1921.912000000000035,0.475,,100.000000000000000,275.172379244653939,-6.247326823,53.35008092
19,Harbour Master Place 2,,,,,,-1,0,-1,,,184,977,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1921.912000000000035,0.475,,200.000000000000000,184.807369759321062,-6.248603644,53.34998893
20,Harbour Master Place 2,,,,,,-1,0,-1,,,184,977,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1921.912000000000035,0.475,,300.000000000000000,4.846707846860340,-6.248595056,53.350035
21,Harbour Master Place 2,,,,,,-1,0,-1,,,184,977,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1921.912000000000035,0.475,,400.000000000000000,95.172080864251214,-6.247438457,53.35013367
22,Harbour Master Place 2,,,,,,-1,0,-1,,,184,977,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1921.912000000000035,0.475,,500.000000000000000,95.169582802047017,-6.245997854,53.34998674
23,Openspace at Glasnevin Downs,,,,,,-1,0,-1,,,1214,184,04,Amenity Public Open Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2799.289999999999964,0.692,,0,80.572606138743424,-6.286061491,53.3792199
