Statistic Label,Age,Sex,Year,UNIT,LifeExpectancy
Period Life Expectancy at Various Ages,0,Male,2016,Years,79.6
Period Life Expectancy at Various Ages,0,Female,2016,Years,83.4
Period Life Expectancy at Various Ages,5,Male,2016,Years,74.9
Period Life Expectancy at Various Ages,5,Female,2016,Years,78.7
Period Life Expectancy at Various Ages,10,Male,2016,Years,70
Period Life Expectancy at Various Ages,10,Female,2016,Years,73.7
Period Life Expectancy at Various Ages,15,Male,2016,Years,65
Period Life Expectancy at Various Ages,15,Female,2016,Years,68.7
Period Life Expectancy at Various Ages,20,Male,2016,Years,60.1
Period Life Expectancy at Various Ages,20,Female,2016,Years,63.8
Period Life Expectancy at Various Ages,25,Male,2016,Years,55.2
Period Life Expectancy at Various Ages,25,Female,2016,Years,58.8
Period Life Expectancy at Various Ages,35,Male,2016,Years,45.6
Period Life Expectancy at Various Ages,35,Female,2016,Years,49
Period Life Expectancy at Various Ages,45,Male,2016,Years,36.1
Period Life Expectancy at Various Ages,45,Female,2016,Years,39.3
Period Life Expectancy at Various Ages,55,Male,2016,Years,26.8
Period Life Expectancy at Various Ages,55,Female,2016,Years,29.8
Period Life Expectancy at Various Ages,65,Male,2016,Years,18.3
Period Life Expectancy at Various Ages,65,Female,2016,Years,21
Period Life Expectancy at Various Ages,75,Male,2016,Years,10.9
Period Life Expectancy at Various Ages,75,Female,2016,Years,12.9
