"","HRI_mz_n","HRI_mz_e","HRI_mz_p","HRI_gaus_n","HRI_gaus_e","HRI_gaus_p","HRI_kern_n","HRI_kern_e","HRI_kern_p","HRI_bin_n","HRI_bin_e","HRI_bin_p"
"HRI_mz_n",1,0.834,0.943,0.994,0.826,0.938,0.998,0.83,0.94,0.949,0.746,0.808
"HRI_mz_e",0.834,1,0.956,0.829,0.991,0.954,0.834,0.997,0.957,0.77,0.892,0.79
"HRI_mz_p",0.943,0.956,1,0.936,0.949,0.994,0.94,0.949,0.998,0.88,0.87,0.861
"HRI_gaus_n",0.994,0.829,0.936,1,0.834,0.942,0.998,0.83,0.939,0.973,0.77,0.825
"HRI_gaus_e",0.826,0.991,0.949,0.834,1,0.96,0.833,0.993,0.957,0.8,0.937,0.834
"HRI_gaus_p",0.938,0.954,0.994,0.942,0.96,1,0.941,0.953,0.998,0.904,0.896,0.877
"HRI_kern_n",0.998,0.834,0.94,0.998,0.833,0.941,1,0.835,0.943,0.96,0.758,0.815
"HRI_kern_e",0.83,0.997,0.949,0.83,0.993,0.953,0.835,1,0.955,0.776,0.892,0.78
"HRI_kern_p",0.94,0.957,0.998,0.939,0.957,0.998,0.943,0.955,1,0.891,0.882,0.866
"HRI_bin_n",0.949,0.77,0.88,0.973,0.8,0.904,0.96,0.776,0.891,1,0.798,0.857
"HRI_bin_e",0.746,0.892,0.87,0.77,0.937,0.896,0.758,0.892,0.882,0.798,1,0.934
"HRI_bin_p",0.808,0.79,0.861,0.825,0.834,0.877,0.815,0.78,0.866,0.857,0.934,1
